,text_id,token,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other,not_hate
225,1140,▁DA,-0.5423583,-0.27022225,-0.3371901,-0.5608405,-0.45098755,-0.14286445,-0.5372185,-0.5958868,-0.13669614,-0.46868578,0.54957044,0.53721976
226,1140,▁GO,0.56233895,0.29135653,0.4721704,0.22412267,0.27048454,0.24492103,0.5197678,0.2693201,0.36888123,0.44728526,-0.19712204,-0.059899807
227,1140,RDA,-0.8066764,-0.4487951,-0.698063,-0.55108196,-0.5805081,-0.18372695,-0.74385625,-0.55077684,-0.3205552,-0.77207357,0.7148505,0.2000153
228,1140,▁DA,-0.535888,-0.3041013,-0.4296106,-0.49062607,-0.41753793,-0.14762548,-0.5892526,-0.5390968,-0.15537402,-0.51563025,0.3854199,0.4323666
229,1140,▁ROBERT,1.5100806,0.86223054,1.1358151,0.8777377,0.942784,0.5027641,1.3184226,1.0798433,0.38858196,1.337731,-0.6492517,-0.3406643
230,1140,A,0.402726,0.231287,0.3339401,0.19471139,0.24927285,-0.069484025,0.31259048,0.056970358,0.07941882,0.32415017,-0.35399872,0.33867064
231,1140,▁S,1.0161948,0.660794,0.78091294,0.5234088,0.65577304,0.33569223,0.9245666,0.580046,0.29661298,1.0200322,-0.35582,0.18346085
232,1140,Ã,0.5051595,0.33869684,0.3712741,0.23757587,0.27583757,0.15867788,0.42004877,0.26465672,0.18680027,0.47185266,-0.14434543,0.06598698
233,1140,O,-0.26961923,0.0105775,-0.1294065,-0.257253,-0.16679639,-0.037977017,-0.22773175,-0.29947948,-0.11639619,-0.110943615,0.48940843,0.40440282
234,1140,▁AS,0.6908896,0.46284926,0.5213947,0.3750412,0.4594284,0.31828916,0.669047,0.3988881,0.2570215,0.6911744,-0.4399574,0.03729239
235,1140,▁MEL,-0.7621269,-0.2679954,-0.5261928,-0.59478027,-0.5142889,-0.16855675,-0.72775435,-0.54670554,-0.086966015,-0.66090035,1.0965023,0.23653021
236,1140,HO,-0.261524,-0.10019486,-0.17737222,-0.2649875,-0.24161722,0.0049708635,-0.26390222,-0.26885927,0.020739652,-0.18226895,0.2854354,0.20591766
237,1140,RES,-0.54387534,-0.15186173,-0.37714368,-0.4377858,-0.26203045,-0.10948512,-0.49004808,-0.562974,-0.14396128,-0.3953911,0.57607454,0.52845955
